epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,68738.1,0.04858,0.09348,0.38924,0.6816,0.97348,0.99099,0.99332,0.8586,0.97348,0.99099,0.99332,0.78806,0.04274,0.08128,0.28515,0.63217,0.0002476,0.0002476,0.0002476
78,69499.1,0.04826,0.09289,0.38331,0.67974,0.97466,0.99006,0.9938,0.85871,0.97466,0.99006,0.9938,0.79085,0.04313,0.08155,0.27828,0.63458,0.0002377,0.0002377,0.0002377
79,73018.5,0.04838,0.09329,0.38417,0.68291,0.97637,0.9897,0.993,0.86067,0.97637,0.9897,0.993,0.78952,0.04299,0.08143,0.28251,0.63274,0.0002278,0.0002278,0.0002278
80,73791.9,0.04831,0.09419,0.3862,0.67874,0.98339,0.99084,0.99435,0.86415,0.98339,0.99084,0.99435,0.79309,0.04292,0.08084,0.27631,0.632,0.0002179,0.0002179,0.0002179
81,74570.8,0.04845,0.0939,0.38064,0.67628,0.98243,0.99099,0.99425,0.85953,0.98243,0.99099,0.99425,0.78967,0.04316,0.08111,0.2757,0.63501,0.000208,0.000208,0.000208
82,75439.5,0.04819,0.09377,0.38072,0.67892,0.98338,0.9897,0.99247,0.85722,0.98338,0.9897,0.99247,0.78652,0.04314,0.08147,0.27579,0.63473,0.0001981,0.0001981,0.0001981
83,76234.1,0.04816,0.0933,0.37932,0.67814,0.97995,0.98842,0.99382,0.86367,0.97995,0.98842,0.99382,0.7935,0.0428,0.08068,0.27825,0.63183,0.0001882,0.0001882,0.0001882
84,77023.2,0.04791,0.09255,0.37707,0.67445,0.98833,0.98456,0.99397,0.86205,0.98833,0.98456,0.99397,0.79324,0.04287,0.08084,0.27839,0.63202,0.0001783,0.0001783,0.0001783
85,77811.7,0.04779,0.09318,0.37233,0.6768,0.99348,0.98026,0.99459,0.85844,0.99348,0.98026,0.99459,0.78997,0.04312,0.08073,0.26984,0.63428,0.0001684,0.0001684,0.0001684
86,78606.6,0.04767,0.09306,0.37467,0.67397,0.98966,0.98576,0.99425,0.85712,0.98966,0.98576,0.99425,0.78888,0.04295,0.0807,0.26896,0.63155,0.0001585,0.0001585,0.0001585
87,79417.2,0.04749,0.09262,0.36795,0.67403,0.98621,0.98713,0.99399,0.86344,0.98621,0.98713,0.99399,0.79178,0.0428,0.08026,0.26607,0.63099,0.0001486,0.0001486,0.0001486
88,80238.5,0.04733,0.09301,0.37089,0.67312,0.98471,0.99476,0.99442,0.86039,0.98471,0.99476,0.99442,0.7918,0.04261,0.08026,0.26424,0.63161,0.0001387,0.0001387,0.0001387
89,81070.8,0.04754,0.09229,0.36627,0.67778,0.98298,0.99614,0.99445,0.86695,0.98298,0.99614,0.99445,0.79651,0.04265,0.0801,0.26185,0.63191,0.0001288,0.0001288,0.0001288
90,81910.9,0.04737,0.09204,0.37095,0.6777,0.9894,0.99228,0.99474,0.86566,0.9894,0.99228,0.99474,0.79547,0.04248,0.07996,0.25608,0.62929,0.0001189,0.0001189,0.0001189
91,82726.6,0.03858,0.08132,0.28493,0.64292,0.97965,0.99113,0.99436,0.8574,0.97965,0.99113,0.99436,0.78667,0.04256,0.08104,0.2662,0.63167,0.000109,0.000109,0.000109
92,83539.2,0.038,0.07923,0.27055,0.63435,0.98714,0.98763,0.9947,0.86489,0.98714,0.98763,0.9947,0.79253,0.04246,0.08065,0.26178,0.63067,9.91e-05,9.91e-05,9.91e-05
93,84356.4,0.0378,0.07844,0.26657,0.62996,0.98592,0.9897,0.99476,0.8656,0.98592,0.9897,0.99476,0.79517,0.04248,0.08086,0.26148,0.63028,8.92e-05,8.92e-05,8.92e-05
94,85177.9,0.03762,0.07869,0.26027,0.62845,0.98971,0.99076,0.99475,0.86743,0.98971,0.99076,0.99475,0.79437,0.04225,0.08066,0.25965,0.62887,7.93e-05,7.93e-05,7.93e-05
95,86001.2,0.03757,0.07818,0.26058,0.63102,0.99481,0.9875,0.99481,0.86618,0.99481,0.9875,0.99481,0.79427,0.04217,0.08029,0.26031,0.62786,6.94e-05,6.94e-05,6.94e-05
96,86826.2,0.03746,0.07792,0.26143,0.62857,0.98828,0.99228,0.99487,0.8658,0.98828,0.99228,0.99487,0.79412,0.04215,0.08057,0.25702,0.62789,5.95e-05,5.95e-05,5.95e-05
97,87648.7,0.03742,0.07772,0.2599,0.62905,0.99097,0.98886,0.99485,0.86591,0.99097,0.98886,0.99485,0.79454,0.04202,0.08031,0.2561,0.62665,4.96e-05,4.96e-05,4.96e-05
98,88472.2,0.03723,0.07786,0.2575,0.62912,0.99157,0.99099,0.99453,0.86688,0.99157,0.99099,0.99453,0.79569,0.04198,0.08026,0.25412,0.62698,3.97e-05,3.97e-05,3.97e-05
99,89303.4,0.03705,0.07741,0.25728,0.62794,0.99099,0.99076,0.99465,0.86588,0.99099,0.99076,0.99465,0.79546,0.04197,0.07998,0.25335,0.62687,2.98e-05,2.98e-05,2.98e-05
100,90165.3,0.03704,0.07756,0.2537,0.62947,0.98971,0.99063,0.99449,0.86581,0.98971,0.99063,0.99449,0.79529,0.04195,0.07989,0.2536,0.62676,1.99e-05,1.99e-05,1.99e-05
